ln_R,ln_I
5.419833183,5.328793049
6.044023991,7.100123882
6.053949356,6.913158417
5.501550674,6.717966557
4.131795406,5.184644699
4.331197739,4.799257278
5.688032627,6.330554485
5.924341202,6.919268608
4.338349342,5.342119217
5.806183338,6.747768402
4.1580863,5.037158489
5.887922764,6.961841106
5.840189457,6.652765751
6.402254105,7.470045567
4.273978233,4.958564758
5.771116257,6.639765263
4.054144859,5.102776527
4.064669132,5.465349197
4.277104855,5.644338608
5.927329063,7.069748878
5.487045765,6.890697956
3.818825245,4.259684563
5.970544338,7.539810181
4.074874401,5.009473324
4.489238262,5.283432484
4.488764286,4.959974289
4.170400143,4.218543053
5.860926628,6.877121449
5.898245811,6.895946026
5.989746094,7.067645073
4.181623459,4.722427845
5.961186886,6.910294533
5.814780235,7.428079128
4.394838333,5.575816631
6.121290684,6.771581173
5.491354465,7.075296402
6.165620804,4.807867527
4.291746616,4.537134647
5.872496128,6.418297291
5.672147274,7.006250858
4.320086956,4.639378071
4.22842741,4.51532793
5.449486732,6.943353176
5.866640091,6.803247929
4.446240902,5.486546516
4.754857063,4.700761795
5.819621086,6.693459511
5.729887009,7.010071278
4.58748579,5.590138912
5.906563282,6.62316227
5.800042629,5.968449116
3.94209218,4.422420502
4.046403885,5.999300003
6.439640045,7.31089735
6.422837734,7.252782822
4.653340816,4.648200035
6.217879772,7.267991543
5.608663559,6.865383625
5.494418621,6.411145687
4.239653587,5.319664478
5.696899891,6.275823116
6.117044449,7.428470135
6.194853306,7.149521351
4.852837563,4.920396328
4.705785275,5.409514904
5.530439854,6.332816601
6.040840149,6.903328896
4.486643791,5.129580021
5.494697571,6.349778175
4.87029171,5.354985237
4.703474045,4.68149662
5.362473488,6.256493568
4.224348545,5.241751194
5.466611862,6.458079815
6.272552013,6.35551548
4.319098473,5.214848995
4.770784378,4.823738098
5.249387741,6.911632061
5.509178638,6.50729084
5.957088947,6.96291256
6.161355019,7.431922436
6.237035275,7.414832592
5.958386898,6.925430298
6.003530502,6.681483746
5.893772125,7.095066071
5.842318535,6.578749657
4.584061146,4.896166325
5.251228809,6.593252182
6.094332218,7.103341103
6.331935406,6.482934475
5.485155106,6.651948452
4.824687004,5.179108143
5.955590248,6.898004055
5.299294949,6.28226757
5.985625744,6.959164143
4.48695612,5.192594528
5.913519382,6.671916008
4.41520977,4.976475716
3.963078022,5.038308144
4.509961128,5.1105299
6.171051979,7.143082619
5.99793911,7.28867054
6.061292171,6.425003529
4.028335571,5.231173038
4.184119225,5.450202465
6.121801376,6.935046196
5.701694489,6.483985424
5.665885925,6.570853233
4.324931145,5.513790607
6.466587543,7.353319168
5.927339554,6.985161304
5.701791763,7.426380157
6.402585506,7.221348286
5.954058647,6.883470058
5.285676479,6.476227283
4.531021595,5.646771431
4.27983284,4.984565258
4.203186512,5.757855415
4.22029829,5.179806709
5.166592121,4.815151215
4.143554688,4.926433563
5.972102642,7.065888882
5.178378105,6.605946541
5.32887125,7.004351616
5.810404778,6.853940487
5.906122684,7.243778229
5.837521553,6.769862652
4.27068615,5.064828873
4.202063084,5.530468941
5.372106075,6.552670956
5.830778122,6.868851662
4.462278843,5.157126904
4.194387436,5.23624754
5.6442976,6.908401012
5.882552147,6.733811855
4.477173805,4.608436584
5.800511837,6.846872807
4.618992329,4.925788403
6.091278076,7.245575428
4.250146389,4.983968258
4.45304203,5.15123415
5.496864319,6.658403873
5.541152,6.50050354
5.168454647,5.111364841
6.407501698,7.28819418
5.733333588,6.626877308
5.660173893,6.452150822
5.7654109,6.816891193
4.545902252,5.772859097
5.085413456,5.763510704
5.28851223,5.809000969
5.535754204,5.921685219
5.274781704,6.24182272
4.624802113,4.616689205
4.372727394,4.644665718
6.191848278,7.195834637
4.082070351,5.180285454
4.071566105,4.480703831
3.81575942,5.170534134
5.445452213,6.749642849
4.213807583,5.58782196
5.365031242,6.038266659
4.286746025,5.242219925
5.64096117,6.43441534
6.14476347,7.372633934
5.960925579,7.304870605
5.432627678,6.413265228
5.987352371,7.331684589
6.060850143,7.18790102
4.654791355,5.517164707
4.013947487,4.778824806
5.537752628,6.188363552
4.190239429,5.654649734
6.083099365,7.542040348
4.841416359,4.897767544
4.162234783,5.147072792
6.246763229,7.255215645
4.366202354,5.451056004
4.124518871,5.072534561
3.859200716,4.862804413
5.68018055,6.594501019
6.124473095,7.103826523
5.480930805,6.659163475
6.071916103,7.150374889
4.199169636,4.955199242
5.240501881,6.227668762
4.551469326,5.276263237
4.218954086,4.791085243
4.54383707,5.0887146
4.345646381,5.17761755
5.188784122,6.130902767
4.264645576,4.428148746
4.68530035,5.618151188
5.559221745,6.899041176
5.694753647,7.15223074
4.400772572,4.876449585
3.999135733,4.798545837
4.035044193,4.694757462
3.744330645,4.596616745
5.647002697,6.574808121
5.671119213,7.035301685
4.316140175,4.804210663
5.485171318,6.596326351
4.392344952,5.079875946
5.922997475,7.197580338
5.029442787,6.437713146
3.624355793,4.795363426
5.442569733,6.126942158
5.958661079,6.964393616
5.111702442,6.850608349
5.752634525,6.856678009
6.01601553,7.331639767
4.435988426,5.741840839
4.112907887,4.997517109
4.476075172,5.14343071
6.222418308,7.144993782
5.552718163,6.694781303
5.937794209,6.952997684
3.879270315,4.978664875
4.306245804,5.555972576
4.103835106,4.494989872
4.504984856,4.875089645
5.617099762,6.556696415
5.582064152,6.606626987
5.718757629,6.975380898
6.011927128,6.879210472
5.968575001,7.066942692
4.260643959,4.965588093
5.447154999,6.822227001
5.42743969,6.272177219
4.718628883,4.97701931
4.121049881,4.668990135
5.460530758,6.800123215
4.958233356,5.268311977
5.249790192,6.13219595
5.955385208,7.293535709
5.601976871,6.368850231
4.233027935,5.068092346
4.546229839,5.089942455
5.862053871,6.725855827
4.163864613,5.210121155
4.530534744,4.804891586
4.415718555,4.934004784
4.437489986,4.841320515
5.943822384,6.864693642
4.403071404,4.286567688
4.487260818,5.296834469
4.081094265,4.848976612
5.804411411,6.954345226
5.651315212,6.580256462
4.145765781,4.836402416
5.948060989,7.300637722
5.568813324,6.751853943
6.02984333,7.01276207
