ln_R,ln_I
3.428425312,6.328241825
3.513480425,6.207149982
3.294585466,5.82144928
3.279237986,6.00041151
3.319614649,5.817026615
3.589415789,6.777279377
3.640986919,6.323502541
3.579294682,6.534881592
3.309302807,6.042419434
3.547086,6.251390457
3.537300587,6.240396023
3.246855259,6.151396275
3.290480852,6.072173119
3.569237232,6.13376236
2.954847813,5.233708382
3.340657949,5.987411022
3.417453766,6.127711773
3.400959969,5.933396339
3.579803228,6.613000393
3.54092145,6.422134876
3.200702667,4.865307808
3.327042341,5.796712399
3.515916109,6.71160841
3.502508402,6.591218948
3.4198277,5.855385303
3.465808868,6.329446793
3.5531075,6.395793915
2.934053659,5.010710716
4.047604561,7.477403164
3.747226715,6.618692398
3.229836226,5.486359119
3.692192554,6.232646942
3.107507229,5.406645775
3.700598478,6.704407692
2.980576038,4.458128929
3.627836466,6.633623123
3.50194025,6.019561291
3.568142414,6.143435955
3.360919476,6.083735466
3.155187368,5.321992397
3.416414738,5.765285015
3.562838316,6.334450722
3.254053831,5.897382259
3.458306551,6.016561508
3.57790184,6.601551056
3.552376032,6.502707481
3.488331079,6.335473061
3.18962574,5.268853188
3.194259167,5.92881012
3.480941772,6.36999321
3.743472338,5.481802464
3.323746204,6.103477001
3.417486191,5.968782902
3.535232067,6.185754299
3.776307583,6.49254179
3.243803024,5.33634901
3.249653101,5.512452126
3.428543329,6.104261398
3.579820395,6.564777851
3.661169767,6.375025749
3.709156752,6.827642441
3.516771317,6.254226685
3.641649723,6.562746525
3.859579086,5.849283695
3.314723253,5.69273901
3.482529402,5.969167233
3.360998631,6.139082432
4.777604103,9.158583641
4.162577152,7.160910606
3.439411402,5.362802505
3.462033749,6.106070518
3.314457893,6.225183487
3.653148413,6.392828465
3.579958916,5.467869759
3.431004524,6.343214512
3.541809559,6.138546944
3.461584806,6.146727085
3.309452057,6.160541058
3.328830481,5.76514864
3.334194422,5.613780022
3.473550558,5.863214493
3.204973459,5.425563335
3.305834293,6.251932621
3.344781399,5.839387417
3.598453283,6.524767399
3.438508272,6.001513958
4.175397873,7.569946289
3.288239479,5.157409668
3.535498142,6.409380436
3.367361546,5.776941776
3.24753499,5.746837139
3.377611399,6.172609329
3.251247883,5.790644169
3.603652716,6.063032627
4.021712303,7.420507908
3.43491745,6.133868694
3.379963398,6.114319801
3.348211288,5.665995121
3.489401102,5.906300068
3.650576591,6.971716404
3.337075472,5.192845345
4.180992603,7.500893116
3.483812094,5.941859245
3.141164303,6.09373188
3.454458237,5.773281097
4.315865517,7.797911644
3.577783823,6.147999763
3.656647205,5.929731369
3.678623438,6.167580128
3.526812553,6.033747673
3.278356075,5.24767065
3.507216692,5.878829956
3.467206717,5.708825111
3.417878151,5.769935608
3.533256292,6.074407578
3.488642454,6.226099968
3.410982609,5.59524107
3.40434289,5.963886261
3.396935463,6.121878147
3.776255131,6.464412689
3.9850595,7.574654579
3.49608326,5.769893169
3.504873753,5.963754654
3.568279266,6.136684418
4.42218256,7.675651073
3.521903515,5.852827549
3.401460648,5.562748909
3.521529198,6.156470299
3.66700983,6.153782368
3.621717453,6.115763187
3.448925257,5.932113171
3.706419945,6.547025204
3.463877916,5.97542572
3.442379236,5.592199802
2.884732485,4.651927948
3.761518478,6.4778409
3.525856256,5.955986977
4.021550655,7.515014172
3.564853191,6.300455093
3.776609898,6.351874352
3.46292758,5.581160069
3.488838911,5.786634445
3.424134016,5.808392048
3.426167488,6.132435799
4.118811131,7.720860481
3.3452456,5.501768589
3.411738873,5.680034161
3.626780987,6.45385313
3.296442986,5.678763866
3.472812653,6.268846512
3.595401764,6.1884408
3.510765791,5.989835262
3.300122499,6.139402866
3.602035999,6.208097458
3.823676825,6.706437111
2.763842583,4.559134007
3.590674639,6.754889011
3.412843227,5.78458643
3.930155993,7.090564728
3.674487591,6.09580183
3.627461433,6.440443516
3.473762035,6.285422325
3.511838198,6.188111305
3.529979229,5.827541828
3.387504101,6.242817879
3.435409307,6.044349194
3.538684607,6.118767738
3.903582811,6.67812252
3.54981184,5.950212002
3.8146348,6.423641682
3.47648716,6.305180073
3.307797432,6.024087906
3.271767616,4.645265102
3.653654575,6.14287138
3.857230186,7.023786545
3.634623528,6.076833725
3.396281719,5.670603752
3.838335514,6.270929813
4.294811249,7.550706863
3.49302268,6.24359417
3.456947565,5.512163162
3.395430803,5.209487438
3.476429224,5.663741589
